timestamp,x,y,theta,linear_speed,angular_speed,angular_cmd,speed_cmd,cte,safety_flag
1767866914.436277,0.0,0.0,0.0,0.5,0.04344692684355245,0.04344692684355245,0.5,-0.05430865855444056,0
1767866914.4393075,0.0,0.0,0.0,0.5,0.04344692684355245,0.04344692684355245,0.5,-0.05430865855444056,0
1767866914.4492872,0.0,0.0,0.0,0.5,0.04344692684355245,0.04344692684355245,0.5,-0.05430865855444056,0
1767866914.4509537,0.0,0.0,0.0,0.5,0.039335791269938095,0.039335791269938095,0.5,-0.049169739087422615,0
1767866914.4519987,0.0,0.0,0.0,0.5,0.039335791269938095,0.039335791269938095,0.5,-0.049169739087422615,0
1767866914.4578583,0.0,0.0,0.0,0.5,0.03929171789260142,0.03929171789260142,0.5,-0.049114647365751773,0
1767866914.4616156,0.0,0.0,0.0,0.5,0.03929171789260142,0.03929171789260142,0.5,-0.049114647365751773,0
1767866914.4626892,0.0,0.0,0.0,0.5,0.03929171789260142,0.03929171789260142,0.5,-0.049114647365751773,0
1767866914.4659672,0.0,0.0,0.0,0.5,0.03659532637823198,0.03659532637823198,0.5,-0.04574415797278997,0
1767866914.4703565,0.0,0.0,0.0,0.5,0.03659532637823198,0.03659532637823198,0.5,-0.04574415797278997,0
1767866914.4828897,0.0,0.0,0.0,0.5,0.04238154093424473,0.04238154093424473,0.5,-0.052976926167805916,0
1767866914.4837391,0.0,0.0,0.0,0.5,0.04238154093424473,0.04238154093424473,0.5,-0.052976926167805916,0
1767866914.4898005,0.0,0.0,0.0,0.5,0.03898424875168569,0.03898424875168569,0.5,-0.04873031093960711,0
1767866914.4906552,0.0,0.0,0.0,0.5,0.03898424875168569,0.03898424875168569,0.5,-0.04873031093960711,0
1767866914.4945786,0.0,0.0,0.0,0.5,0.03826506478445868,0.03826506478445868,0.5,-0.04783133098057335,0
1767866914.4979172,0.0,0.0,0.0,0.5,0.03826506478445868,0.03826506478445868,0.5,-0.04783133098057335,0
1767866914.5155153,0.0,0.0,0.0,0.5,0.040542320978073934,0.040542320978073934,0.5,-0.050677901222592414,0
1767866914.5194879,0.0,0.0,0.0,0.5,0.040542320978073934,0.040542320978073934,0.5,-0.050677901222592414,0
1767866914.5207403,0.0,0.0,0.0,0.5,0.039196781885056355,0.039196781885056355,0.5,-0.04899597735632044,0
1767866914.5222766,0.0,0.0,0.0,0.5,0.039196781885056355,0.039196781885056355,0.5,-0.04899597735632044,0
1767866914.5266833,0.0,0.0,0.0,0.5,0.04055802027384434,0.04055802027384434,0.5,-0.05069752534230543,0
1767866914.530832,0.0,0.0,0.0,0.5,0.04055802027384434,0.04055802027384434,0.5,-0.05069752534230543,0
1767866914.5388606,0.0,0.0,0.0,0.5,0.041774999527704186,0.041774999527704186,0.5,-0.05221874940963023,0
1767866914.5396988,0.0,0.0,0.0,0.5,0.041774999527704186,0.041774999527704186,0.5,-0.05221874940963023,0
1767866914.5446942,0.0,0.0,0.0,0.5,0.041774999527704186,0.041774999527704186,0.5,-0.05221874940963023,0
1767866914.5570588,0.0,0.0,0.0,0.5,0.04135011491321379,0.04135011491321379,0.5,-0.051687643641517234,0
1767866914.5580714,0.0,0.0,0.0,0.5,0.04135011491321379,0.04135011491321379,0.5,-0.051687643641517234,0
1767866914.5589957,0.0,0.0,0.0,0.5,0.03938071387154718,0.03938071387154718,0.5,-0.049225892339433974,0
1767866914.5598187,0.0,0.0,0.0,0.5,0.03938071387154718,0.03938071387154718,0.5,-0.049225892339433974,0
1767866914.5617752,0.0,0.0,0.0,0.5,0.03938071387154718,0.03938071387154718,0.5,-0.049225892339433974,0
1767866914.5670369,0.0,0.0,0.0,0.5,0.04142711276099789,0.04142711276099789,0.5,-0.05178389095124736,0
1767866914.5751557,0.0,0.0,0.0,0.5,0.04142711276099789,0.04142711276099789,0.5,-0.05178389095124736,0
1767866914.5789657,0.0,0.0,0.0,0.5,0.037446757725306944,0.037446757725306944,0.5,-0.04680844715663368,0
1767866914.5864906,0.0,0.0,0.0,0.5,0.037795425596691246,0.037795425596691246,0.5,-0.04724428199586406,0
1767866914.5883162,0.0,0.0,0.0,0.5,0.037795425596691246,0.037795425596691246,0.5,-0.04724428199586406,0
1767866914.5904646,0.0,0.0,0.0,0.5,0.037795425596691246,0.037795425596691246,0.5,-0.04724428199586406,0
1767866914.600464,0.0,0.0,0.0,0.5,0.04113928022838778,0.04113928022838778,0.5,-0.05142410028548472,0
1767866914.6042006,0.0,0.0,0.0,0.5,0.04113928022838778,0.04113928022838778,0.5,-0.05142410028548472,0
